,tweet_id,user_id,screen_name,created_at,text,geo_lat,geo_long,place_type,place_name,lang,source,retweet_count,favorite_count,retweet_status_id,reply_to_status_id,reply_to_user_id,reply_to_screen_name
19,1359883357673373699,939091,JoeBiden,2021-02-11 15:13:52,"RT @POTUS: We can reduce suffering in this country, put people back to work, and gain control of this virus.\n\nThat\u2019s what the American Resc\u2026 ",,,,,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a> ",7114,0,1.3598819722445087e+18,,,
20,1359655813388906499,939091,JoeBiden,2021-02-11 00:09:41,RT @POTUS: The risk isn^t that we do too much when it comes to a COVID relief package \u2014 it^s that we don^t do enough.\n\nWe have to go big. ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",16845,0,1.3596553419449303e+18,,,
21,1359519481509404675,939091,JoeBiden,2021-02-10 15:07:57,RT @POTUS: Let me be clear: No one should lose their home in the middle of this pandemic. Congress needs to pass the American Rescue Plan t\u2026 ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",8739,0,1.3595175065584476e+18,,,
22,1359285829525508100,939091,JoeBiden,2021-02-09 23:39:30,RT @POTUS: We can\u2019t stand by as millions of Americans struggle to put food on the table. Congress needs to immediately pass the American Re\u2026 ,,,,,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a> ",8377,0,1.3592834756779295e+18,,,
23,1359204195430264835,939091,JoeBiden,2021-02-09 18:15:07,"RT @POTUS: There\u2019s so much more work to be done, but we\u2019ve been able to increase vaccine distribution by 28% in the first three weeks alone\u2026 ",,,,,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a> ",6990,0,1.359203978710573e+18,,,
24,1359158951129079814,939091,JoeBiden,2021-02-09 15:15:20,RT @POTUS: Launching a national vaccination program to quickly and equitably vaccinate America \u2014 that\u2019s the American Rescue Plan. https://t\u2026 ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",6555,0,1.3591547891086418e+18,,,
25,1358851337522470914,939091,JoeBiden,2021-02-08 18:52:59,RT @POTUS: Making vaccines free and accessible for every American \u2014 that\u2019s the American Rescue Plan. https://t.co/5GpH0VYWIE ,,,,,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a> ",12337,0,1.3588342331842888e+18,,,
26,1358781635240599554,939091,JoeBiden,2021-02-08 14:16:01,RT @POTUS: We don\u2019t have a second to waste when it comes to delivering the American people the relief they desperately need. I\u2019m calling on\u2026 ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",13212,0,1.3587813819843256e+18,,,
27,1358538143318880258,939091,JoeBiden,2021-02-07 22:08:28,"RT @POTUS: For your family, for your neighbors, for your country \u2014 wear a mask. ",,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",36303,0,1.3585367151667036e+18,,,
28,1358465618501136384,939091,JoeBiden,2021-02-07 17:20:17,RT @POTUS: Everyone who wants a vaccine should be able to get one free of charge. The American Rescue Plan will make that a reality. ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",16886,0,1.3584529668150723e+18,,,
29,1358084646685319170,939091,JoeBiden,2021-02-06 16:06:26,"RT @POTUS: Last year, Michele lost her job because of the pandemic. I recently gave her a call to hear her story and discuss how my America\u2026 ",,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",9041,0,1.3580833355080827e+18,,,
30,1357840281069113355,939091,JoeBiden,2021-02-05 23:55:25,"RT @POTUS: This morning, I met with House Democratic leaders to discuss the American Rescue Plan. As I said during the meeting: this isn\u2019t\u2026 ",,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",7352,0,1.3578399011574456e+18,,,
31,1357773974550306818,939091,JoeBiden,2021-02-05 19:31:56,RT @POTUS: America is back. Diplomacy is back. https://t.co/03dFPQyYjw ,,,,,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a> ",10765,0,1.3577672920803123e+18,,,
32,1357414638510616579,939091,JoeBiden,2021-02-04 19:44:04,"RT @POTUS: This afternoon, I\u2019m visiting the @StateDept and delivering remarks on America\u2019s role in the world. Tune in. https://t.co/zWG3UET\u2026 ",,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",4231,0,1.3574142387891446e+18,,,
33,1357376416380256258,939091,JoeBiden,2021-02-04 17:12:11,RT @POTUS: Extending the moratorium on evictions and foreclosures to help countless Americans keep a roof over their head \u2014 that\u2019s the Amer\u2026 ,,,,,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a> ",6382,0,1.3573582787460055e+18,,,
34,1357119042327359488,939091,JoeBiden,2021-02-04 00:09:28,RT @POTUS: Let me be clear: The risk in this moment isn\u2019t that we do too much \u2014 it\u2019s that we don\u2019t do enough. Congress must pass the Americ\u2026 ,,,,,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a> ",20825,0,1.3571053356857754e+18,,,
35,1357052766720557066,939091,JoeBiden,2021-02-03 19:46:07,RT @POTUS: Officer Brian Sicknick was a hero who died in the line of duty defending our democracy and the citadel of liberty itself. To his\u2026 ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",12695,0,1.3570461998581187e+18,,,
36,1356962956647538688,939091,JoeBiden,2021-02-03 13:49:14,RT @POTUS: No one should lose their home in the middle of this pandemic. My American Rescue Plan will extend the moratorium on evictions an\u2026 ,,,,,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a> ",14456,0,1.3569618896123658e+18,,,
37,1356682004130062339,939091,JoeBiden,2021-02-02 19:12:50,RT @POTUS: It\u2019s long past time we raise the minimum wage to $15 an hour. The American Rescue Plan will get it done. ,,,,,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a> ",24096,0,1.3566787822880195e+18,,,
38,1356433882254630913,939091,JoeBiden,2021-02-02 02:46:53,"RT @POTUS: We\u2019ve never fully lived up to the founding principles of this nation, but our Administration is committed to finishing the work\u2026 ",,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",14610,0,1.3564306396801516e+18,,,
39,1356031620986392578,939091,JoeBiden,2021-02-01 00:08:26,"RT @POTUS: In order to get America vaccinated, we need more:\n\n- Places for people to get vaccinated\n- Medical teams to get shots into arms\u2026 ",,,,,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a> ",13872,0,1.356025720833794e+18,,,
40,1355682622698086401,939091,JoeBiden,2021-01-31 01:01:39,"RT @POTUS: Over the last 10 days, I\u2019ve taken action on:\n\n- COVID-19\n- The economy\n- Climate change\n- Racial equity\n- Immigration\n- Health c\u2026 ",,,,,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a> ",32810,0,1.3555996636389704e+18,,,
41,1354501085478625281,939091,JoeBiden,2021-01-27 18:46:38,"RT @POTUS: This afternoon, I\u2019ll be taking action to meet the climate crisis with the urgency it demands. Tune in. https://t.co/TaCmltDZ6X ",,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",7273,0,1.3544987253269012e+18,,,
42,1353173127673520128,939091,JoeBiden,2021-01-24 02:49:49,"RT @POTUS: We\u2019re facing a historic moment in our nation\u2019s history \u2014 one that requires bold and swift action. That\u2019s why this week, I took h\u2026 ",,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",15049,0,1.3530712538803364e+18,,,
43,1353173113417076736,939091,JoeBiden,2021-01-24 02:49:45,"RT @POTUS: We will get through this, together. https://t.co/W03wlb2m8o ",,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",11321,0,1.3530155294103347e+18,,,
44,1352797482435055618,939091,JoeBiden,2021-01-23 01:57:08,RT @POTUS: Federal employees have dedicated their careers to serving the American people \u2014 and they are worthy of the utmost dignity and re\u2026 ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",15279,0,1.3527868794653204e+18,,,
45,1352797437795029000,939091,JoeBiden,2021-01-23 01:56:57,"RT @POTUS: I know times are tough, but help is on the way. https://t.co/BVi3b6NoBv ",,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",8935,0,1.3527281009126973e+18,,,
46,1352797424041922560,939091,JoeBiden,2021-01-23 01:56:54,"RT @POTUS: This afternoon, I\u2019ll be taking action to provide much-needed relief to communities and small businesses impacted by COVID-19. Tu\u2026 ",,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",6042,0,1.352708940337877e+18,,,
47,1352797375497048064,939091,JoeBiden,2021-01-23 01:56:42,"RT @POTUS: As we mark the 48th anniversary of Roe v. Wade, now is the time to rededicate ourselves to the work ahead. From codifying Roe to\u2026 ",,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",11844,0,1.352684958754734e+18,,,
48,1352797369352417280,939091,JoeBiden,2021-01-23 01:56:41,RT @POTUS: I\u2019m grateful for the Senate\u2019s continued bipartisanship and swift confirmation of Lloyd Austin. His confirmation is historic \u2014 an\u2026 ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",6121,0,1.3526785601804247e+18,,,
49,1352448983839297536,939091,JoeBiden,2021-01-22 02:52:19,RT @POTUS: We will get this virus under control. https://t.co/59iC1nyR0N ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",7436,0,1.3524472923479777e+18,,,
50,1352448968488144897,939091,JoeBiden,2021-01-22 02:52:16,"RT @POTUS: I give you my word: I will always level with you.\n\nI will defend the Constitution, our democracy, and America.\n\nAnd I will give\u2026 ",,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",13026,0,1.3524406143155569e+18,,,
51,1352328492587728896,939091,JoeBiden,2021-01-21 18:53:32,"RT @POTUS: We don^t have a second to waste when it comes to getting this virus under control. That^s why today, I^ll be signing executive a\u2026 ",,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",20739,0,1.3522802910884577e+18,,,
52,1352140185828425729,939091,JoeBiden,2021-01-21 06:25:16,"RT @WhiteHouse: We are currently facing four converging crises \u2014 COVID-19, the resulting economic crisis, climate change, and racial inequi\u2026 ",,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",8005,0,1.3521053898993254e+18,,,
53,1352140112486809601,939091,JoeBiden,2021-01-21 06:24:59,RT @POTUS: Wearing masks isn^t a partisan issue \u2014 it^s a patriotic act that can save countless lives. That^s why I signed an executive orde\u2026 ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",42754,0,1.3520860118750904e+18,,,
54,1352002900000600064,939091,JoeBiden,2021-01-20 21:19:45,RT @POTUS: The time to move forward is now. https://t.co/IrUUu0bxGO ,,,,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a> ",71445,0,1.3519604339057009e+18,,,
